Eng,Kor,Ver
Name,Name,
str,str,
,,
Gil,길,2
Fire Shard,불 샤드,2
Ice Shard,얼음 샤드,2
Wind Shard,바람 샤드,2
Earth Shard,땅 샤드,2
Lightning Shard,번개 샤드,2
Water Shard,물 샤드,2
Fire Crystal,불 크리스탈,2
Ice Crystal,얼음 크리스탈,2
Wind Crystal,바람 크리스탈,2
Earth Crystal,땅 크리스탈,2
Lightning Crystal,번개 크리스탈,2
Water Crystal,물 크리스탈,2
Fire Cluster,불 클러스터,2
Ice Cluster,얼음 클러스터,2
Wind Cluster,바람 클러스터,2
Earth Cluster,땅 클러스터,2
Lightning Cluster,번개 클러스터,2
Water Cluster,물 클러스터,2
Storm Seal,흑와단 군표,2
Serpent Seal,쌍사당 군표,2
Flame Seal,불멸대 군표,2
Allagan Tomestone of Philosophy,알라그 석판: 철학,2
Allagan Tomestone of Mythology,알라그 석판: 신화,2
Wolf Mark,명예 점수,2.1
Allagan Tomestone of Soldiery,알라그 석판: 전기,2.2
Allied Seal,동맹 휘장,2.3
Allagan Tomestone of Poetics,알라그 석판: 시학,2.4
MGP,맨더빌 골드 소서 포인트,2.51
Allagan Tomestone of Law,알라그 석판: 법전,3
Allagan Tomestone of Esoterics,알라그 석판: 금서,3.05
Allagan Tomestone of Lore,알라그 석판: 전승,3.2
Allagan Tomestone of Scripture,알라그 석판: 성전,3.4
Allagan Tomestone of Verity,알라그 석판: 진리,4
Allagan Tomestone of Creation,알라그 석판: 만물,4.05
Allagan Tomestone of Mendacity,알라그 석판: 허구,4.2
Allagan Tomestone of Genesis,알라그 석판: 창세,4.4
Allagan Tomestone of Goetia,알라그 석판: 마전,5
Allagan Tomestone of Phantasmagoria,알라그 석판: 환상,5.05
Allagan Tomestone of Allegory,알라그 석판: 기담,5.2
Allagan Tomestone of Revelation,알라그 석판: 묵시,5.4
Allagan Tomestone of Aphorism,알라그 석판: 경전,6
Allagan Tomestone of Astronomy,알라그 석판: 천문,6.05
Allagan Tomestone of Causality,알라그 석판: 인과,6.2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Dated Bronze Gladius,구식 글라디우스,2
Dated Bronze Dagger,구식 단검,2
Dated Bronze Spatha,구식 스파타,2
Dated Blinding Dagger,구식 암흑의 단검,2
Dated Silencing Dagger,구식 침묵의 단검,2
Dated Brass Gladius,구식 황동 글라디우스,2
Dated Brass Dagger,구식 황동 단검,2
Dated Paralyzing Dagger,구식 마비의 단검,2
Dated Sleeping Dagger,구식 수면의 단검,2
Dated Ash Macuahuitl,구식 마쿠아후이틀,2
Dated Iron Gladius,구식 철제 글라디우스,2
Dated Iron Dagger,구식 철제 단검,2
Dated Iron Spatha,구식 철제 스파타,2
Dated Maddening Dagger,구식 광란의 단검,2
Dated Poison Dagger,구식 독의 단검,2
Dated Elm Macuahuitl,구식 느릅나무 마쿠아후이틀,2
Dated Bee Spatha,구식 밀랍 스파타,2
Dated Iron Falchion,구식 언월도,2
Dated Iron Shortsword,구식 쇼트소드,2
Dated Walnut Macuahuitl,구식 호두나무 마쿠아후이틀,2
Dated Iron Longsword,구식 롱소드,2
Dated Toothed Falchion,구식 톱니 언월도,2
Dated Plumed Walnut Macuahuitl,구식 콘도르 마쿠아후이틀,2
Dated Oak Macuahuitl,구식 떡갈나무 마쿠아후이틀,2
Dated Bone Hora,구식 호라,2
Dated Leather Himantes,구식 히만테스,2
Dated Bronze Knuckles,구식 금속 너클,2
Dated Dodoskin Cesti,구식 세스터스,2
Dated Brass Knuckles,구식 황동 너클,2
Dated Tortoiseshell Hora,구식 등딱지 호라,2
Dated Toadskin Cesti,구식 두꺼비 세스터스,2
Dated Spiked Knuckles,구식 가시 너클,2
Dated Boarskin Himantes,구식 멧돼지 히만테스,2
Dated Iron Baghnakhs,구식 바그나크,2
Dated Crabshell Hora,구식 대왕게 호라,2
Dated Smothering Baghnakhs,구식 질식의 바그나크,2
Dated Disabling Baghnakhs,구식 치명의 바그나크,2
Dated Peiste Cesti,구식 독뿔도마뱀 세스터스,2
Dated Jade Hora,구식 옥 호라,2
Dated Bronze War Axe,구식 전쟁도끼,2
Dated Bronze Labrys,구식 양날도끼,2
Dated Spiked Bronze Labrys,구식 가시 양날도끼,2
Dated Storm Axe,구식 폭풍 도끼,2
Dated Iron War Axe,구식 철제 전쟁도끼,2
Dated Iron Labrys,구식 철제 양날도끼,2
Dated Spiked Iron Labrys,구식 철제 가시 양날도끼,2
Dated Inferno Axe,구식 지옥불 도끼,2
Dated Iron Bhuj,구식 굽은날도끼,2
Dated Bronze Bardiche,구식 긴날도끼,2
Dated Iron Bill,구식 낫도끼,2
Dated Thunderstorm Axe,구식 번개폭풍 도끼,2
Dated Engraved Bhuj,구식 문장 굽은날도끼,2
Dated Bronze Spear,구식 창,2
Dated Harpoon,구식 작살창,2
Dated Feathered Harpoon,구식 깃털 작살창,2
Dated Brass Spear,구식 황동 창,2
Dated Iron Spear,구식 철제 창,2
Dated Iron Lance,구식 랜스,2
Dated Tortoiseshell Harpoon,구식 등딱지 작살창,2
Dated Iron Guisarme,구식 갈고리창,2
Dated Battle Fork,구식 전투용 갈래창,2
